Player_Name,Points,Team,height,weight,Position,collage,Age,All_Star
"Curly Armstrong",458,FTW,180,77,G-F,"Indiana University",31,0
"Cliff Barker",279,INO,188,83,SG,"University of Kentucky",29,0
"Leo Barnhorst",438,CHS,193,86,SF,"University of Notre Dame",25,0
"Ed Bartels",63,TOT,196,88,F,"North Carolina State University",24,0
"Ed Bartels",59,DNN,196,88,F,"North Carolina State University",24,0
"Ed Bartels",4,NYK,196,88,F,"North Carolina State University",24,0
"Ralph Beard",895,INO,178,79,G,"University of Kentucky",22,0
"Gene Berce",10,TRI,180,79,G-F,"Marquette University",23,0
"Charlie Black",661,TOT,196,90,F-C,"University of Kansas",28,0
"Charlie Black",382,FTW,196,90,F-C,"University of Kansas",28,0
"Charlie Black",279,AND,196,90,F-C,"University of Kansas",28,0
"Nelson Bobb",242,PHW,183,77,PG,"Temple University",25,0
"Jake Bornheimer",254,PHW,196,90,F-C,"Muhlenberg College",22,0
"Vince Boryla",612,NYK,196,95,SF,"University of Denver",22,0
"Don Boven",656,WAT,193,95,F-G,"Western Michigan University",24,0
"Harry Boykoff",779,WAT,208,102,C,"St. John's University",27,0
"Joe Bradley",87,CHS,190,79,G,"Oklahoma State University",21,0
"Bob Brannum",713,SHE,196,97,PF,"Michigan State University",24,0
"Carl Braun",1031,NYK,196,81,G-F,"Colgate University",22,0
"Frankie Brian",1138,AND,185,81,G,"Louisiana State University",26,0
"Price Brookfield",34,ROC,193,83,F-G,"West Texas A&M University",29,0
"Bob Brown",724,DNN,193,92,F,"Miami University",26,0
"Jim Browne",47,DNN,208,106,C,,20,0
"Walt Budko",595,BLB,196,99,PF,"Columbia University",24,0
"Jack Burmaster",598,SHE,190,86,G,"University of Illinois at Urbana-Champaign",23,0
"Tommy Byrnes",327,BLB,190,79,F-G,"Seton Hall University",26,0
"Bill Calhoun",560,ROC,190,81,SG,"City College of San Francisco",22,0
"Don Carlson",267,MNL,183,77,G-F,"University of Minnesota",30,0
